Sheet,Avatar mesh measurements — NOT AN APPROVED MEASUREMENT RECORD
Asset,assets/export/avatar_master.glb
Asset SHA-256,0caa604bab3510e6c40ed699185832b55d68b87668336a53d385a5345ddd71a4
Registry SHA-256,056c64938801ff5a9d63de9ed99528cbaa6225fdf77e17ef97a46876cba8e18c
Measured at,2026-09-04T17:42:28+00:00
Sheet generated at,2026-09-04T17:42:32+00:00
Units,cm to 0.1; inch as a reduced fraction to the nearest 1/8
Codes,PROVISIONAL — house POM codes not yet mapped; the internal id is shown
Limit 1,"No soft-tissue compression allowance: these are loose-tape body dimensions, so a snug band measurement reads smaller."
Limit 2,Mesh geometry only. Nothing here is a TD-approved measurement record or a size verdict.
Limit 3,Plane sections above y=1.39m are invalid because the torso surface is open at the armhole.
Limit 4,No hip and no stature: the mesh has no legs and no head.

MEASURED
POM code,Internal id,Point of measure,Điểm đo,cm,inch,ml,Tol (mm),Method,Tape,Landmark source,Status,Notes
BODY_WAIST_GIRTH,BODY_WAIST_GIRTH,Waist girth,Vòng eo,76.9,"30 1/4""",,1.0,plane_section,convex_hull / loose_body,auto,auto,
BODY_UNDERBUST_GIRTH,BODY_UNDERBUST_GIRTH,Underbust girth,Vòng chân ngực,83.1,"32 3/4""",,1.0,plane_section,convex_hull / loose_body,auto,auto,
BODY_BUST_GIRTH,BODY_BUST_GIRTH,Bust girth,Vòng ngực,101.3,"39 7/8""",,1.0,plane_section,convex_hull / loose_body,auto,needs_review,"Open decision 1 in MEASUREMENT_PLAN.md. Measured at apex level per ISO, NOT at the largest girth found: on this body the maximum girth sits 20mm above the apex because the ribcage broadens toward the armpits, a 1.1cm difference from wording alone. DIAG_MAX_TORSO_GIRTH reports the other reading for comparison."
BODY_APEX_TO_APEX,BODY_APEX_TO_APEX,Bust point to bust point,Khoảng cách hai đỉnh ngực,16.1,"6 3/8""",,1.0,euclidean,,auto,auto,
BODY_BAND_FRONT_L,BODY_BAND_FRONT_L,"Band front, centre front to side (left)","Nửa trước dây ngực, trái",20.0,"7 7/8""",,1.0,section_arc,section_arc / loose_body,auto,auto,"Measured along the underbust section itself, not as a free shortest path: a band follows the underbust line, so the arc of that section is the right model here."
BODY_UNDERARM_TO_FOLD_L,BODY_UNDERARM_TO_FOLD_L,"Wing height, underarm to the underbust side point (left)","Chiều cao cánh, trái",13.7,"5 3/8""",,1.0,surface_path,shortest_surface_path / loose_body,auto,auto,How tall the side wing has to be before it reaches the armhole.
BODY_BAND_FRONT_R,BODY_BAND_FRONT_R,"Band front, centre front to side (right)","Nửa trước dây ngực, phải",20.0,"7 7/8""",,1.0,section_arc,section_arc / loose_body,auto,auto,"Measured along the underbust section itself, not as a free shortest path: a band follows the underbust line, so the arc of that section is the right model here."
BODY_UNDERARM_TO_FOLD_R,BODY_UNDERARM_TO_FOLD_R,"Wing height, underarm to the underbust side point (right)","Chiều cao cánh, phải",13.7,"5 3/8""",,1.0,surface_path,shortest_surface_path / loose_body,auto,auto,How tall the side wing has to be before it reaches the armhole.
BODY_UNDERBUST_TO_APEX_L,BODY_UNDERBUST_TO_APEX_L,"Cup depth, underbust to apex (left)","Chiều sâu cup, trái",8.2,"3 1/4""",,1.0,surface_path,shortest_surface_path / loose_body,auto,auto,"From the point on the underbust fold section directly below the apex, up to the apex, along the surface."
BODY_UNDERBUST_TO_APEX_R,BODY_UNDERBUST_TO_APEX_R,"Cup depth, underbust to apex (right)","Chiều sâu cup, phải",8.2,"3 1/4""",,1.0,surface_path,shortest_surface_path / loose_body,auto,auto,

DIAGNOSTIC — not points of measure
